epoch,loss,lr,val_loss
0,0.6565409302711487,0.001,1.0262138843536377
1,0.6545299887657166,0.001,0.7686744332313538
2,0.6541967988014221,0.001,0.6911965012550354
3,0.65409255027771,0.001,0.6660215854644775
4,0.6540021300315857,0.001,0.6617481112480164
5,0.6539416909217834,0.001,0.6615752577781677
6,0.6539127230644226,0.001,0.6598971486091614
7,0.6539050936698914,0.001,0.6610091328620911
8,0.6538740396499634,0.001,0.6622941493988037
9,0.6538671851158142,0.001,0.6611520648002625
10,0.6538912057876587,0.001,0.6625694036483765
11,0.6538317799568176,0.001,0.6695023775100708
12,0.6537560820579529,0.000100000005,0.6595485806465149
13,0.6537325978279114,0.000100000005,0.6593791842460632
14,0.6537227034568787,0.000100000005,0.6593953967094421
15,0.6537167429924011,0.000100000005,0.6594056487083435
16,0.6537092924118042,0.000100000005,0.6594194173812866
17,0.6536997556686401,0.000100000005,0.6594257950782776
18,0.6536939144134521,0.000100000005,0.65950608253479
19,0.6536815166473389,1.0000001e-05,0.6593998074531555
20,0.6536763906478882,1.0000001e-05,0.6593632698059082
21,0.6536742448806763,1.0000001e-05,0.6593531966209412
22,0.6536725759506226,1.0000001e-05,0.6593475341796875
23,0.6536718606948853,1.0000001e-05,0.6593471169471741
24,0.6536747217178345,1.0000001e-06,0.6593443751335144
25,0.6536720395088196,1.0000001e-06,0.6593436598777771
26,0.6536699533462524,1.0000001e-06,0.659342885017395
27,0.6536725163459778,1.0000001e-06,0.6593425869941711
28,0.6536729335784912,1.0000001e-06,0.6593425273895264
29,0.6536717414855957,1.0000001e-07,0.6593425869941711
30,0.653670608997345,1.0000001e-07,0.6593427062034607
31,0.6536719799041748,1.0000001e-07,0.6593429446220398
32,0.65367192029953,1.0000001e-07,0.659342885017395
33,0.6536691188812256,1.0000001e-07,0.6593430638313293
34,0.6536694169044495,1e-07,0.6593431830406189
35,0.6536698341369629,1e-07,0.659343421459198
36,0.6536709666252136,1e-07,0.6593436598777771
37,0.6536698341369629,1e-07,0.6593433618545532
38,0.6536700129508972,1e-07,0.6593433618545532
39,0.653670608997345,1e-07,0.6593432426452637
40,0.6536688804626465,1e-07,0.6593432426452637
41,0.6536714434623718,1e-07,0.6593433618545532
42,0.6536683440208435,1e-07,0.6593431830406189
43,0.6536703705787659,1e-07,0.6593434810638428
44,0.6536701917648315,1e-07,0.6593432426452637
45,0.6536704897880554,1e-07,0.6593433618545532
46,0.6536703705787659,1e-07,0.6593432426452637
47,0.653671145439148,1e-07,0.659343421459198
48,0.6536685824394226,1e-07,0.6593431830406189
